"Generate Date:07/03/2019"
"Daily 24 Hour Measurement of PBX Traffic Report"
"Tel No	:",69586888,,,"Name	: SMRT Taxis Pte Ltd"
"Date 		: ",04/02/2019,,,,"Lines	: 90"
,"Incoming Calls",,,,"Outgoing Calls",,,,"Total Calls"
Hour,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration
Hour,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration
1,,13,13,153,,0,0,0,,13,13,153
2,,17,17,141,,0,0,0,,17,17,141
3,,7,7,90,,0,0,0,,7,7,90
4,,15,15,170,,0,0,0,,15,15,170
5,,7,7,101,,0,0,0,,7,7,101
6,,9,9,171,,0,0,0,,9,9,171
7,,9,9,135,,0,0,0,,9,9,135
8,,9,9,203,,0,0,0,,9,9,203
9,,20,20,127,,0,0,0,,20,20,127
10,,28,28,185,,0,0,0,,28,28,185
11,,17,17,183,,0,0,0,,17,17,183
12,,21,21,136,,0,0,0,,21,21,136
13,,21,21,215,,0,0,0,,21,21,215
14,,15,15,340,,0,0,0,,15,15,340
15,,22,22,155,,0,0,0,,22,22,155
16,,21,21,169,,0,0,0,,21,21,169
17,,29,29,168,,0,0,0,,29,29,168
18,,27,27,176,,0,0,0,,27,27,176
19,*,43,43,137,+,0,0,0,#,43,43,137
20,,25,25,172,,0,0,0,,25,25,172
21,,43,43,158,,0,0,0,,43,43,158
22,,19,19,141,,0,0,0,,19,19,141
23,,18,18,144,,0,0,0,,18,18,144
24,,9,9,207,,0,0,0,,9,9,207
Total,,=sum(C202:C225),=sum(D202:D225),"=Round(SUMPRODUCT(D202:D225,E202:E225)/D226)",,=sum(G202:G225),=sum(H202:H225),=sum(I202:I225),,=sum(K202:K225),=sum(L202:L225),"=Round(SUMPRODUCT(L202:L225,M202:M225)/L226)"
,,
Abbreviations:,,,,
"Date           ",":The date of measurement.",,,,Hour," :The end hour of measurement."
"Incoming Calls ",":Calls terminated  at subscriber.",,,,"Attempt ",": Number of call attempts made."
"Outgoing Calls ",":Calls originated from subscriber.",,,,"Answer ",": Number of answered calls."
"BHInd.   *     ",":Busy hr (Incoming Calls)",,,,"Duration ",":The average conversation time in secs calculated using Traffic"
"+ : BHInd(Outgoing Calls)"
"+ : BHInd(Total Calls)"
"Generate Date:07/03/2019"
"Daily 24 Hour Measurement of PBX Traffic Report"
"Tel No	:",69586888,,,"Name	: SMRT Taxis Pte Ltd"
"Date 		: ",10/02/2019,,,,"Lines	: 90"
,"Incoming Calls",,,,"Outgoing Calls",,,,"Total Calls"
Hour,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration
1,,33,33,130,,0,0,0,,33,33,130
2,,29,29,220,,0,0,0,,29,29,220
3,,10,10,238,,0,0,0,,10,10,238
4,,12,12,197,,0,0,0,,12,12,197
5,,15,15,131,,0,0,0,,15,15,131
6,,19,19,139,,0,0,0,,19,19,139
7,*,47,47,109,+,0,0,0,#,47,47,109
8,,28,28,187,,0,0,0,,28,28,187
